,0
0,2
1,6
2,4
3,4
4,4
5,4
6,4
7,4
8,4
9,6
10,4
11,4
12,3
13,2
14,4
15,4
16,4
17,6
18,4
19,4
20,4
21,5
22,6
23,4
24,4
25,4
26,4
27,6
28,6
29,4
30,4
31,4
32,4
33,4
34,3
35,6
36,4
37,4
38,4
39,4
40,3
41,4
42,4
43,6
44,5
45,4
46,4
47,4
48,4
49,6
50,4
51,6
52,4
53,2
54,5
55,0
56,4
57,6
58,6
59,4
60,4
61,4
62,4
63,4
64,4
65,6
66,4
67,4
68,6
69,4
70,6
71,0
72,6
73,4
74,4
75,4
76,4
77,4
78,6
79,4
80,4
81,4
82,4
83,4
84,4
85,0
86,4
87,7
88,6
89,4
90,4
91,6
92,5
93,4
94,4
95,6
96,4
97,4
98,4
99,6
100,6
101,6
102,4
103,2
104,6
105,6
106,4
107,5
108,4
109,4
110,6
111,5
112,4
113,4
114,5
115,6
116,2
117,4
118,6
119,4
120,6
121,4
122,6
123,6
124,5
125,4
126,4
127,4
128,4
129,4
130,4
131,4
132,4
133,7
134,5
135,7
136,4
137,0
138,4
139,6
140,4
141,4
142,4
143,6
144,4
145,4
146,6
147,6
148,4
149,2
150,4
151,4
152,7
153,4
154,7
155,4
156,6
157,6
158,3
159,4
160,4
161,4
162,4
163,4
164,4
165,4
166,7
167,4
168,6
169,4
170,4
171,2
172,6
173,0
174,4
175,4
176,2
177,6
178,2
179,6
180,5
181,5
182,4
183,4
184,4
185,7
186,4
187,6
188,5
189,4
190,6
191,4
192,4
193,4
194,4
195,5
196,2
197,4
198,3
199,6
200,4
201,7
202,4
203,2
204,4
205,6
206,4
207,4
208,4
209,4
210,4
211,2
212,0
213,4
214,0
215,3
216,4
217,4
218,4
219,5
220,5
221,4
222,4
223,6
224,5
225,6
226,6
227,6
228,6
229,4
230,6
231,4
232,0
233,4
234,2
235,4
236,4
237,4
238,4
239,4
240,6
241,6
242,3
243,7
244,4
245,4
246,4
247,7
248,4
249,7
250,4
251,3
252,4
253,5
254,6
255,4
256,6
257,6
258,6
259,4
260,4
261,4
262,4
263,7
264,6
265,5
266,4
267,4
268,4
269,4
270,0
271,2
272,6
273,6
274,4
275,4
276,2
277,4
278,6
279,4
280,4
281,6
282,6
283,2
284,4
285,3
286,6
287,2
288,4
289,3
290,2
291,4
292,4
293,7
294,4
295,6
296,4
297,3
298,4
299,6
300,0
301,5
302,2
303,4
304,4
305,5
306,5
307,5
308,3
309,4
310,6
311,6
312,4
313,3
314,4
315,4
316,4
317,4
318,0
319,4
320,4
321,4
322,4
323,4
324,2
325,3
326,6
327,4
328,4
329,2
330,4
331,4
332,5
333,4
334,6
335,4
336,6
337,3
338,4
339,6
340,4
341,6
342,4
343,4
344,2
345,4
346,5
347,6
348,4
349,4
350,4
351,4
352,4
353,3
354,4
355,2
356,4
357,2
358,4
359,4
360,4
361,4
362,4
363,3
364,6
365,3
366,4
367,4
368,4
369,4
370,6
371,0
372,3
373,4
374,0
375,3
376,6
377,4
378,4
379,2
380,6
381,4
382,3
383,6
384,2
385,4
386,4
387,4
388,4
389,4
390,0
391,2
392,4
393,4
394,4
395,4
396,5
397,7
398,4
399,4
400,4
401,7
402,4
403,5
404,6
405,4
406,4
407,4
408,4
409,4
410,4
411,6
412,4
413,3
414,4
415,4
416,4
417,4
418,4
419,2
420,4
421,4
422,4
423,5
424,3
425,4
426,4
427,5
428,4
429,7
430,4
431,2
432,4
433,4
434,4
435,6
436,4
437,4
438,4
439,4
440,4
441,6
442,4
443,2
444,4
445,4
446,6
447,4
448,0
449,4
450,4
451,4
452,4
453,4
454,4
455,6
456,3
457,4
458,5
459,2
460,2
461,4
462,4
463,4
464,6
465,4
466,6
467,4
468,6
469,6
470,4
471,5
472,6
473,5
474,2
475,6
476,4
477,4
478,4
479,4
480,6
481,2
482,4
483,5
484,6
485,4
486,3
487,0
488,6
489,5
490,6
491,4
492,4
493,4
494,4
495,4
496,4
497,4
498,4
499,6
500,4
501,4
502,0
503,4
504,4
505,6
506,4
507,4
508,4
509,4
510,4
511,6
512,4
513,4
514,4
515,4
516,4
517,6
518,6
519,4
520,6
521,0
522,4
523,6
524,2
525,6
526,6
527,4
528,6
529,4
530,4
531,4
532,4
533,4
534,4
535,6
536,4
537,4
538,4
539,4
540,5
541,4
542,4
543,4
544,6
545,4
546,4
547,5
548,6
549,4
550,4
551,4
552,2
553,0
554,4
555,4
556,4
557,2
558,4
559,7
560,6
561,4
562,4
563,4
564,4
565,4
566,6
567,4
568,6
569,4
570,4
571,6
572,4
573,6
574,3
575,4
576,4
577,2
578,4
579,4
580,4
581,4
582,4
583,3
584,4
585,4
586,4
587,4
588,4
589,0
590,4
591,4
592,2
593,4
594,4
595,6
596,4
597,6
598,6
599,4
600,4
601,4
602,4
603,4
604,2
605,4
606,4
607,4
608,4
609,4
610,4
611,4
612,2
613,4
614,4
615,4
616,4
617,2
618,4
619,4
620,4
621,4
622,6
623,6
624,4
625,6
626,4
627,4
628,4
629,4
630,6
631,0
632,6
633,2
634,4
635,4
636,4
637,6
638,4
639,4
640,4
641,4
642,6
643,6
644,6
645,4
646,4
647,4
648,4
649,4
650,4
651,4
652,6
653,4
654,6
655,4
656,4
657,7
658,6
659,4
660,7
661,4
662,6
663,4
664,5
665,4
666,4
667,7
668,5
669,3
670,6
671,4
672,5
673,6
674,4
675,4
676,5
677,4
678,7
679,0
680,5
681,4
682,4
683,2
684,7
685,4
686,4
687,4
688,6
689,4
690,4
691,5
692,4
693,4
694,4
695,6
696,4
697,6
698,4
699,4
700,4
701,4
702,4
703,6
704,2
705,3
706,5
707,4
708,3
709,4
710,4
711,3
712,3
713,4
714,4
715,4
716,4
717,5
718,4
719,4
720,4
721,6
722,4
723,4
724,4
725,4
726,4
727,4
728,4
729,4
730,4
731,6
732,4
733,0
734,0
735,6
736,6
737,5
738,5
739,4
740,4
741,4
742,7
743,6
744,6
745,4
746,4
747,5
748,4
749,4
750,3
751,6
752,4
753,5
754,6
755,3
756,4
757,4
758,0
759,4
760,6
761,4
762,4
763,4
764,7
765,4
766,6
767,7
768,2
769,4
770,4
771,6
772,4
773,4
774,4
775,4
776,4
777,4
778,4
779,4
780,6
781,4
782,4
783,4
784,2
785,4
786,4
787,4
788,4
789,5
790,4
791,4
792,4
793,6
794,4
795,4
796,3
797,4
798,4
799,4
800,4
801,2
802,4
803,6
804,4
805,4
806,6
807,2
808,4
809,4
810,4
811,3
812,6
813,4
814,4
815,4
816,4
817,4
818,6
819,2
820,5
821,6
822,4
823,4
824,5
825,4
826,6
827,4
828,7
829,6
830,4
831,4
832,4
833,4
834,6
835,4
836,4
837,4
838,4
839,4
840,4
841,4
842,4
843,4
844,5
845,4
846,2
847,4
848,4
849,5
850,4
851,4
852,4
853,0
854,3
855,4
856,5
857,4
858,4
859,4
860,4
861,4
862,2
863,4
864,4
865,5
866,4
867,6
868,4
869,4
870,4
871,4
872,4
873,4
874,2
875,4
876,4
877,4
878,3
879,4
880,4
881,4
882,4
883,4
884,4
885,4
886,6
887,4
888,2
889,6
890,2
891,5
892,2
893,3
894,2
895,5
896,2
897,2
898,5
899,0
900,4
901,6
902,4
903,4
904,4
905,4
906,4
907,4
908,6
909,5
910,6
911,3
912,4
913,6
914,4
915,4
916,4
917,4
918,4
919,4
920,4
921,4
922,6
923,4
924,0
925,4
926,4
927,4
928,4
929,4
930,4
931,6
932,4
933,2
934,2
935,4
936,4
937,4
938,4
939,4
940,6
941,7
942,3
943,4
944,4
945,6
946,4
947,2
948,4
949,4
950,2
951,4
952,2
953,3
954,4
955,4
956,4
957,4
958,4
959,4
960,4
961,0
962,4
963,4
964,4
965,4
966,4
967,6
968,2
969,4
970,4
971,6
972,5
973,4
974,5
975,4
976,4
977,6
978,4
979,4
980,2
981,2
982,4
983,4
984,2
985,4
986,4
987,2
988,5
989,6
990,4
991,4
992,4
993,4
994,4
995,4
996,4
997,4
998,4
999,4
1000,4
1001,6
1002,4
1003,5
1004,4
1005,4
1006,6
1007,4
1008,0
1009,4
1010,4
1011,4
1012,6
1013,5
1014,4
1015,4
1016,4
1017,4
1018,4
1019,2
1020,4
1021,6
1022,6
1023,6
1024,4
1025,6
1026,5
1027,6
1028,2
1029,4
1030,4
1031,4
1032,6
1033,4
1034,2
1035,4
1036,4
1037,4
1038,6
1039,4
1040,4
1041,4
1042,4
1043,5
1044,6
1045,4
1046,4
1047,0
1048,4
1049,2
1050,4
1051,4
1052,4
1053,2
1054,7
1055,4
1056,4
1057,4
1058,4
1059,3
1060,4
1061,2
1062,4
1063,6
1064,6
1065,4
1066,4
1067,4
1068,4
1069,0
1070,4
1071,5
1072,4
1073,6
1074,6
1075,5
1076,5
1077,4
1078,2
1079,2
1080,4
1081,4
1082,4
1083,4
1084,4
1085,4
1086,4
1087,4
1088,6
1089,4
1090,4
1091,2
1092,4
1093,4
1094,6
1095,2
1096,2
1097,2
1098,6
1099,6
1100,6
1101,7
1102,4
1103,4
1104,5
1105,4
1106,4
1107,4
1108,5
1109,2
1110,4
1111,4
1112,4
1113,6
1114,4
1115,4
1116,4
1117,4
1118,4
1119,6
1120,4
1121,2
1122,4
1123,6
1124,4
1125,3
1126,4
1127,5
1128,4
1129,4
1130,4
1131,4
1132,6
1133,4
1134,4
1135,5
1136,6
1137,4
1138,4
1139,4
1140,6
1141,4
1142,4
1143,6
1144,4
1145,4
1146,2
1147,4
1148,4
1149,7
1150,4
1151,4
1152,4
1153,6
1154,4
1155,4
1156,4
1157,4
1158,4
1159,5
1160,4
1161,4
1162,5
1163,6
1164,4
1165,4
1166,4
1167,6
1168,3
1169,4
1170,4
1171,4
1172,4
1173,4
1174,2
1175,6
1176,4
1177,4
1178,6
1179,4
1180,4
1181,6
1182,4
1183,6
1184,4
1185,4
1186,6
1187,2
1188,4
1189,0
1190,4
1191,7
1192,4
1193,4
1194,6
1195,4
1196,6
1197,0
1198,4
1199,6
1200,4
1201,4
1202,4
1203,3
1204,2
1205,4
1206,5
1207,4
1208,3
1209,4
1210,4
1211,4
1212,4
1213,4
1214,2
1215,4
1216,5
1217,5
1218,4
1219,4
1220,4
1221,5
1222,4
1223,4
1224,6
1225,5
1226,4
1227,6
1228,4
1229,4
1230,5
1231,2
1232,6
1233,4
1234,4
1235,2
1236,3
1237,4
1238,4
1239,4
1240,6
1241,4
1242,4
1243,4
1244,4
1245,2
1246,2
1247,0
1248,4
1249,4
1250,4
1251,4
1252,4
1253,4
1254,4
1255,4
1256,4
1257,4
1258,4
1259,5
1260,5
1261,4
1262,2
1263,6
1264,7
1265,4
1266,4
1267,4
1268,6
1269,4
1270,4
1271,4
1272,4
1273,4
1274,3
1275,4
1276,7
1277,4
1278,2
1279,4
1280,3
1281,2
1282,0
1283,2
1284,4
1285,5
1286,4
1287,6
1288,4
1289,5
1290,4
1291,4
1292,6
1293,4
1294,4
1295,6
1296,6
1297,0
1298,4
1299,4
1300,6
1301,2
1302,4
1303,4
1304,4
1305,6
1306,6
1307,6
1308,4
1309,6
1310,6
1311,6
1312,4
1313,4
1314,4
1315,4
1316,2
1317,4
1318,4
1319,4
1320,0
1321,4
1322,4
1323,2
1324,4
1325,6
1326,6
1327,4
1328,6
1329,5
1330,6
1331,4
1332,4
1333,4
1334,4
1335,4
1336,4
1337,3
1338,4
1339,6
1340,7
1341,4
1342,4
1343,4
1344,6
1345,4
1346,4
1347,6
1348,4
1349,4
1350,4
1351,6
1352,4
1353,4
1354,4
1355,4
1356,2
1357,2
1358,6
1359,4
1360,4
1361,4
1362,4
1363,4
1364,4
1365,6
1366,4
1367,0
1368,4
1369,4
1370,4
1371,4
1372,4
1373,7
1374,0
1375,4
1376,6
1377,4
1378,6
1379,2
1380,4
1381,6
1382,2
1383,6
1384,4
1385,2
1386,2
1387,4
1388,4
1389,4
1390,6
1391,6
1392,5
1393,5
1394,4
1395,4
1396,4
1397,4
1398,4
1399,7
1400,4
1401,4
1402,4
1403,5
1404,4
1405,6
1406,4
1407,2
1408,6
1409,4
1410,4
1411,4
1412,4
1413,6
1414,6
1415,6
1416,4
1417,4
1418,4
1419,4
1420,4
1421,4
1422,4
1423,6
1424,6
1425,4
1426,4
1427,4
1428,6
1429,4
1430,4
1431,4
1432,3
1433,6
1434,4
1435,6
1436,4
1437,2
1438,4
1439,4
1440,2
1441,4
1442,4
1443,4
1444,4
1445,4
1446,4
1447,6
1448,6
1449,4
1450,4
1451,4
1452,4
1453,6
1454,6
1455,6
1456,5
1457,4
1458,4
1459,3
1460,6
1461,2
1462,4
1463,6
1464,4
1465,4
1466,6
1467,4
1468,4
1469,6
1470,2
1471,4
1472,4
1473,4
1474,6
1475,7
1476,6
1477,2
1478,4
1479,4
1480,6
1481,4
1482,2
1483,4
1484,4
1485,4
1486,4
1487,4
1488,2
1489,4
1490,4
1491,2
1492,4
1493,4
1494,5
1495,4
1496,2
1497,4
1498,4
1499,6
1500,6
1501,6
1502,4
1503,6
1504,4
1505,7
1506,3
1507,7
1508,4
1509,6
1510,4
1511,4
1512,4
1513,6
1514,0
1515,4
1516,6
1517,3
1518,4
1519,4
1520,4
1521,4
1522,6
1523,4
1524,4
1525,4
1526,6
1527,4
1528,4
1529,6
1530,4
1531,4
1532,4
1533,6
1534,4
1535,5
1536,4
1537,3
1538,4
1539,6
1540,4
1541,0
1542,4
1543,4
1544,5
1545,2
1546,4
1547,4
1548,4
1549,2
1550,0
1551,4
1552,4
1553,4
1554,4
1555,4
1556,4
1557,4
1558,4
1559,7
1560,4
1561,4
1562,4
1563,6
1564,5
1565,6
1566,4
1567,4
1568,4
1569,8
1570,4
1571,4
1572,4
1573,4
1574,0
1575,4
1576,0
1577,4
1578,4
1579,4
1580,4
1581,6
1582,0
1583,4
1584,6
1585,4
1586,4
1587,7
1588,4
1589,7
1590,6
1591,4
1592,3
1593,4
1594,4
1595,4
1596,4
1597,4
1598,6
1599,6
1600,4
1601,6
1602,4
1603,2
1604,4
1605,6
